id,titulo,precio,disponibilidad,rating,categoria,upc
1,A Light in the Attic,51.77,In stock,3,Poetry,a897fe39b1053632
2,Tipping the Velvet,53.74,In stock,1,Historical Fiction,90fa61229261140a
3,Soumission,50.1,In stock,1,Fiction,6957f44c3847a760
4,Sharp Objects,47.82,In stock,4,Mystery,e00eb4fd7b871a48
5,Sapiens: A Brief History of Humankind,54.23,In stock,5,History,4165285e1663650f
6,The Requiem Red,22.65,In stock,1,Young Adult,f77dbf2323deb740
7,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4,Business,2597b5a345f45e1b
8,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3,Default,e72a5dfc7e9267b2
9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4,Default,e10e1e165dc8be4a
10,The Black Maria,52.15,In stock,1,Poetry,1dfe412b8ac00530
